ID,fluxes
PYK2,0.3043593100906846
EX_C00261_e,0.0
R02558,0.0
IMPC,0.0
NTD10pp,0.0
T_sym_D_Lactate,0.0
THRTRS_1,0.0604624733382336
EX_ocdcea_e,0.0
GUI1,0.0
APNPT,0.0
ALAR,0.10523090478721323
EX_thr__L_e,-0.09511963948319525
TMPPP,0.0
EX_gcald_e,0.0
G1Dx,0.0
HPROa,0.0
EX_ade_e,-0.18974495091620155
ASPCT,0.0
PGM,-16.477371774869553
R10994,0.0
ASPR,0.026949053208052135
TO0000277,0.0
r0051,0.0
T_PEP_Tagatose,0.0
ITCY,0.0
MANPGH,0.0
METAT,0.012234945569815598
EX_succ_e,-0.0
GARFT,0.0
EX_ocdca_e,0.0
EX_tag__D_e,0.0
RNTR3,0.014662400393569187
ABFPT,0.0
R02135,0.0
RBK,0.010897599201431888
ACLS,0.0
AICART,0.0
NTD4pp,0.0
T_sym_L_Tyrosine,0.03015868476884455
EX_h2o_e,1.2517095068737847
EX_dad_2_e,0.0
EX_C01019_e,-0.0
LHIST,0.0
HODHL8,0.0466032624672999
EX_for_e,0.6340546820222872
ASNS1,0.0
T_diff_CO2,2.2387116436045607
T_PEP_Salicin,0.0
DCYTD,0.0
T_sym_L_Tryptophan,0.010381166565208535
EX_3pg_e,-0.0
PUNP3m,0.01461026732056967
CYSTA,0.0
GLU5Km,0.0
URIK3,0.0
TRPS3,0.0
3NUCLE4,0.0
EX_fum_e,-0.0
R02984,0.0
XYLK,0.0
EX_fruur_e,-0.0
DPMVDx,0.006321451986128863
EX_C07086_e,-0.0
R07145,0.0
RMPA,0.0
CYSTL,0.002714094857588934
EX_leu__L_e,-0.09523370959876115
TZ4900031,8.83
EX_melib_e,0.0
R00193,0.0
RBP4E,0.0
EX_asp__L_e,-1.0
TO1000322,0.05961287208496062
OCDMAT8,0.0016666916425719356
HEX1,0.0
R07606,0.0
PPM2,-0.01461026732056967
R00838_1,0.0
TDPDRE,0.02785732213096266
TKT1,0.0
EX_actn__R_e,0.0
UDPG4E,0.05460766132861206
TGBPA,0.0
ILETRS_1,0.05961287208496062
EX_glu__L_e,-0.10255357286253264
LCGH,0.0
6PGALSZ,0.0
EX_d5kgp_e,-0.0
T_diff_Diacetyl,0.0
2DGLCNRy,0.0
R08162,0.003846211482858313
HBUR1,-0.06352659299187646
ARGSL,0.0
DMATT,0.0005746774532844421
FBA4,0.0
T_diff_L_Sorbose,0.0
SERAT,0.0
RE1860E,0.0
EX_duri_e,0.0
PHPYROX,0.0
T_diff_Pyridoxal,-0.0021564391779713833
TZ4900037,0.0
XYLTD_D,0.0
AHCYSNS,0.010897599201431888
TMDK1,0.0
G5SD,0.0
RGH,0.0
EX_sbt__D_e,0.0
UMPK,0.17380376378059165
EX_13dpg_e,-0.0
PGMT,-0.11116365799361307
OAADC,1.792760515283341
PRPPS,0.3630239577285348
R09009,0.0
HDDR5,-0.06352659299187648
TO1000107,0.09523370959876115
FTHFCL_1,0.0
X5PL3E,0.0
EX_hxan_e,-0.0
EX_2pg_e,-0.0
EX_C01326_e,0.0
GGGABAH,0.0
NT5C,0.0
DHFS,0.0
ATPPRT,0.0
TI0000157,0.0
CYTD,0.0
T_sym_Hydroquinone,0.0
FBA,8.321131781482567
2INSD,0.0
G5SADs,0.0
DHORTS,0.0
PRO1y,0.0
TRPS1,0.0
PNP,0.0
HMNO,0.0
HHYHL2,0.06352659299187646
T_diff_Hydroxybutanoic_acid,0.0
R02806,0.0
EX_orot_e,-0.0
NTD5pp,0.0
MTHFCx,0.0
TO1100107,0.0
EX_C02356_e,-0.0
PYDXNK,0.0
HEMAT2,-0.06352659299187646
UAGDP,0.06018846931728658
R11312,0.0
TO1000033,0.0
CYSS_trdrd,0.0
T_abc_L_Methionine,0.02329466315170467
MCMAT8,0.0466032624672999
OPMEACPD,0.0
T_diff_R_Acetoin,0.0
GUAD,0.0
FFSD,0.0
EX_nmn_e,-0.0
EX_oxa_e,-0.0
PUNP4,-0.01461026732056967
PGSA_Lgg,0.1194197621340699
EX_ac_e,0.002714094857588934
GLGC,0.0
T_abc_L_Leucine,0.0
EX_glc__aD_e,-8.83
EX_ura_e,-0.16086358774471474
R09951,0.0
R07274,0.0
